상권_코드_명,1분기 covid 영향력,2분기 covid 영향력,3분기 covid 영향력,4분기 covid 영향력,상권_평균_점포수(scaling),상권_평균_점포수,segment
서울 서대문구 신촌역,-0.2257999999999999,-0.30480000000000007,-0.31499999999999995,-0.4190999999999999,3.0922,1189.0,23
서울 서대문구 이대역,-0.1865,-0.25350000000000006,-0.21009999999999995,-0.30399999999999994,2.3886,618.0,3
서울 서초구 남부터미널역_1,-0.055600000000000094,-0.07390000000000008,-0.02939999999999987,-0.0756,0.7452,134.0,13
서울 서초구 남부터미널역_2,-0.040999999999999925,-0.05190000000000006,-0.0938,-0.22889999999999988,1.4944,269.0,17
서울 서초구 남부터미널역_3,0.08629999999999993,0.14370000000000005,0.14839999999999987,-0.13139999999999996,0.4088,98.0,5
서울 서초구 서초역,-0.1744000000000001,-0.1391,-0.09859999999999991,-0.2177,-0.2319,54.0,0
서울 성북구 성신여대입구역,-0.19840000000000002,-0.2155999999999999,-0.23039999999999994,-0.3324999999999999,2.163,501.0,3
서울 성북구 안암역,-0.3821,-0.37229999999999996,-0.34519999999999995,-0.49060000000000004,0.533,110.0,16
서울 용산구 숙대입구역,0.013399999999999967,0.016999999999999904,-0.1540999999999999,-0.2531,1.0684,181.0,17
서울 종로구 경복궁역_1,-0.23909999999999987,-0.23289999999999988,-0.2564000000000001,-0.35140000000000005,0.8807,152.0,1
서울 종로구 경복궁역_2,-0.30720000000000003,-0.3005,-0.22720000000000007,-0.2037000000000001,0.5619,113.0,16
서울 종로구 광화문역_2,-0.15769999999999995,-0.16449999999999998,-0.18819999999999992,-0.3228000000000001,2.4178,635.0,3
서울 중구 명동역,-0.3631,-0.3397,-0.19530000000000003,-0.24139999999999995,1.1375,193.0,1
서울 중구 충무로역_1,-0.2350000000000001,-0.3366000000000001,-0.3364999999999999,-0.4304,1.6045,298.0,21
서울 중구 충무로역_2,-0.1353000000000001,-0.15400000000000003,-0.14050000000000007,-0.24780000000000002,2.0404,447.0,3
서울시립대로16길,-0.34010000000000007,-0.42379999999999995,-0.21310000000000007,0.05289999999999995,-1.2473,21.0,19
서울시립대로29길,-0.3366,-0.29759999999999986,-0.32520000000000004,-0.3640000000000001,-0.3364,49.0,0
서울약령시장,-0.2098,-0.25680000000000003,-0.2881,-0.037000000000000144,0.2172,82.0,9
서초대로64길,-0.07750000000000012,0.23010000000000008,0.25360000000000005,0.24020000000000008,-0.8638,30.0,2
서초중앙로8길,-0.1453000000000001,-0.2649999999999999,-0.24360000000000004,-0.4170999999999999,-0.5021,42.0,0
석계로1길,-0.14590000000000014,-0.1391,-0.17010000000000014,-0.22710000000000008,0.8151,143.0,13
석관시장,-0.20619999999999994,-0.1311,-0.37739999999999996,-0.46810000000000007,-2.5941,6.0,11
석관황금시장,-0.1907000000000001,-0.07359999999999989,0.02970000000000006,0.09249999999999992,-0.528,41.0,10
성균관로5길,-0.4085000000000001,-0.43089999999999995,-0.32519999999999993,-0.3144,0.533,110.0,16
성동용답상가시장,-0.04970000000000008,-0.0687000000000001,-0.09040000000000015,-0.1605000000000001,0.5427,111.0,20
성북로8길,0.044300000000000006,-0.01110000000000011,-0.18530000000000002,-0.08689999999999987,-0.8286,31.0,2
성안로3길,-0.11729999999999996,-0.1170000000000001,-0.1735000000000001,-0.23660000000000003,0.4197,99.0,20
세검정로1길,-0.031200000000000006,-0.16700000000000004,-0.19640000000000002,-0.29410000000000003,0.4088,98.0,20
세무서길,-0.046599999999999975,-0.0756,-0.047599999999999976,-0.10259999999999991,0.483,105.0,20
솔샘로6길,0.037799999999999834,-0.0706,-0.06930000000000014,-0.2688999999999999,-0.7614,33.0,10
송정12라길,-0.09350000000000003,-0.048900000000000055,-0.0674999999999999,-0.0858000000000001,-0.6097,38.0,10
송정4가길,-0.13759999999999994,-0.1513,-0.07550000000000001,-0.3161999999999999,-0.0162,66.0,9
숭문길,-0.02429999999999999,-0.07890000000000008,-0.07699999999999996,-0.1351,0.2931,88.0,20
시청역_2,-0.041099999999999914,-0.04959999999999998,-0.030400000000000094,-0.08340000000000003,1.2023,205.0,17
신중부시장,-0.15170000000000006,-0.1815,-0.2128,-0.38880000000000003,0.3173,90.0,20
신촌로12길,-0.12940000000000007,-0.20129999999999992,-0.24659999999999993,-0.38,0.9291,159.0,1
신촌로30길,0.122,0.12330000000000008,0.18399999999999994,0.19740000000000002,-0.7293,34.0,2
신촌로37길,0.04469999999999996,0.025799999999999934,-0.03730000000000011,-0.44100000000000006,-0.9771,27.0,2
신촌역,-0.1604,-0.19679999999999986,-0.19910000000000005,-0.3285,1.5336,279.0,21
아리랑로4길,-0.1744000000000001,-0.05979999999999985,-0.08840000000000003,-0.2028000000000001,0.4518,102.0,20
아차산로40길,0.08939999999999992,0.14749999999999996,0.06899999999999995,-0.0805999999999999,-0.5545,40.0,10
아차산로51길,0.12229999999999996,-0.04620000000000013,-0.07299999999999995,-0.16860000000000008,0.2684,86.0,20
아차산로78길,-0.3097,-0.17870000000000008,-0.11709999999999998,-0.32699999999999996,0.3053,89.0,20
아현가구거리상점가,-0.5650999999999999,-0.5197999999999999,-0.41559999999999997,-0.49,-0.4521,44.0,24
아현시장,0.3138000000000001,0.2279,0.1988000000000001,0.09070000000000011,0.2558,85.0,18
어린이대공원역,0.13769999999999993,0.09399999999999986,0.16520000000000012,-0.0937,0.7611,136.0,13
